rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0006.jpg,2.4,0.5005,0.3759,0.375,1.0,5,3,False,False
77,frame_0027.jpg,10.8,0.4987,0.5974,0.0,1.0,2,0,False,False
78,frame_0277.jpg,110.8,0.4982,0.5094,0.625,0.28,7,5,False,False
79,frame_0386.jpg,154.4,0.4972,0.4484,0.75,0.24,8,6,False,False
80,frame_0327.jpg,130.8,0.492,0.7431,0.375,0.04,10,3,False,False
81,frame_0275.jpg,110.0,0.491,0.527,0.625,0.2,7,5,False,False
82,frame_0133.jpg,53.2,0.4895,0.429,0.25,1.0,6,2,False,False
83,frame_0016.jpg,6.4,0.4891,0.3532,0.375,1.0,5,3,False,False
84,frame_0105.jpg,42.0,0.4891,0.5712,0.625,0.08,7,5,False,False
85,frame_0315.jpg,126.0,0.4868,0.6256,0.5,0.12,7,4,False,False
86,frame_0026.jpg,10.4,0.4839,0.4928,0.125,1.0,4,1,False,False
87,frame_0395.jpg,158.0,0.4835,0.544,0.625,0.12,6,5,False,False
88,frame_0285.jpg,114.0,0.4832,0.5763,0.25,0.6,6,2,False,False
89,frame_0076.jpg,30.4,0.4818,0.3706,0.375,0.92,6,3,False,False
90,frame_0322.jpg,128.8,0.4814,0.5988,0.5,0.16,4,4,False,False
91,frame_0018.jpg,7.2,0.481,0.412,0.25,1.0,4,2,False,False
92,frame_0303.jpg,121.2,0.481,0.5179,0.5,0.36,5,4,False,False
93,frame_0388.jpg,155.2,0.4806,0.5972,0.5,0.16,8,4,False,False
94,frame_0184.jpg,73.6,0.4785,0.55,0.625,0.08,5,5,False,False
95,frame_0177.jpg,70.8,0.4758,0.5717,0.5,0.2,7,4,False,False
96,frame_0032.jpg,12.8,0.4747,0.3994,0.25,1.0,7,2,False,False
97,frame_0297.jpg,118.8,0.4744,0.4838,0.375,0.6,6,3,False,False
98,frame_0284.jpg,113.6,0.4741,0.5742,0.25,0.56,5,2,False,False
99,frame_0081.jpg,32.4,0.474,0.4351,0.375,0.72,5,3,False,False
100,frame_0396.jpg,158.4,0.4719,0.5798,0.5,0.16,9,4,False,False
101,frame_0116.jpg,46.4,0.4693,0.4946,0.5,0.36,6,4,False,False
102,frame_0333.jpg,133.2,0.4691,0.6062,0.5,0.08,9,4,False,False
103,frame_0124.jpg,49.6,0.4678,0.4386,0.375,0.68,6,3,False,False
104,frame_0106.jpg,42.4,0.4671,0.6183,0.5,0.04,7,4,False,False
105,frame_0304.jpg,121.6,0.4669,0.5058,0.5,0.32,6,4,False,False
106,frame_0332.jpg,132.8,0.4666,0.5422,0.625,0.04,9,5,False,False
107,frame_0008.jpg,3.2,0.4646,0.4541,0.125,1.0,3,1,False,False
108,frame_0290.jpg,116.0,0.4627,0.3803,0.375,0.8,7,3,False,False
109,frame_0028.jpg,11.2,0.4625,0.3749,0.25,1.0,4,2,False,False
110,frame_0301.jpg,120.4,0.4618,0.4475,0.5,0.44,7,4,False,False
111,frame_0209.jpg,83.6,0.4617,0.4855,0.25,0.72,3,2,False,False
112,frame_0289.jpg,115.6,0.4611,0.5432,0.125,0.76,5,1,False,False
113,frame_0014.jpg,5.6,0.4591,0.3681,0.25,1.0,5,2,False,False
114,frame_0389.jpg,155.6,0.4535,0.5589,0.5,0.12,10,4,False,False
115,frame_0012.jpg,4.8,0.4532,0.3564,0.25,1.0,4,2,False,False
116,frame_0080.jpg,32.0,0.4531,0.3772,0.375,0.76,5,3,False,False
117,frame_0193.jpg,77.2,0.4522,0.5085,0.5,0.24,7,4,False,False
118,frame_0229.jpg,91.6,0.4519,0.5719,0.5,0.08,9,4,False,False
119,frame_0232.jpg,92.8,0.4492,0.5183,0.5,0.2,7,4,False,False
120,frame_0307.jpg,122.8,0.4488,0.5926,0.375,0.2,7,3,False,False
121,frame_0183.jpg,73.2,0.4473,0.5786,0.5,0.04,4,4,False,False
122,frame_0370.jpg,148.0,0.4454,0.4998,0.625,0.04,6,5,False,False
